"df_cciindia.text","df_cciindia.created"
"@CCI_India approves subscription by eBay Singapore of CCPS issued by Flipkart and acquisition of eBay India by Flipkart",2017-06-15 12:09:49
"@CCI_India imposes penalty of Rs 87 crore on Hyundai Motor India Ltd. for anti-competitive conduct.",2017-06-14 14:57:56
"@CCI_India  imposes penalty of Rs 87 crore on Hyundai Motor India Ltd. for anti-competitive conduct.",2017-06-14 14:56:55
".@CCI_India approves merger of Oil &amp; Gas business of GE and oil field services business of Baker Hughes Inc",2017-06-14 12:26:09
".@CCI_India approves acquisition of Dodla Dairy Limited by TPG Dodla Dairy Holdings Pte. Ltd.",2017-06-09 13:53:11
".@CCI_India approves amalgamation of Telenor (India) Communications Private Limited into Bharti Airtel Limited",2017-06-06 12:00:21
".@CCI_India approves Tata companies’ acquisition of 21.63% shareholding in Tata Teleservices from NTT Docomo",2017-05-25 12:10:10
".@CCI_India approves acquisition of upto 6.02 percent stake by Aceville in Flipkart",2017-05-23 12:41:01
".@CCI_India approves amalgamation of Videocon D2H Limited into and with Dish TV India Limited",2017-05-23 12:40:39
"@CCI_India celebrates Annual Day. Justice J S Khehar Chief Justice of India delivers Annual day address today at Ashok Hotel.",2017-05-20 16:25:41
"@CCI_India approves acquisition by CSP Alpha of 100% share capital of ESM Holdings Ltd",2017-05-19 10:31:32
"@CCI_India approves acquisition of Syngenta AG by China National Agrochemical Corporation, subject to modifications",2017-05-19 04:02:48
".@CCI_India approves demerger of non-financial services investments of Sundaram Finance into Sundaram Finance Invt Ltd &amp; group restructuring",2017-05-09 11:21:36
".@CCI_India approves acquisition of printer business of Samsung by HP Inc",2017-05-09 11:21:02
".@CCI_India approves acquisition of dairy business of Reliance Retail Limited by Heritage Foods Limited",2017-04-10 11:33:23
".@CCI_India approves acquisition of brand Lloyd and Lloyd’s consumer durables business by Havells",2017-04-10 11:33:02
".@CCI_India approves transfer of 50% stake from DHFL in DPL to DHFL Investments",2017-04-10 11:32:46
".@CCI_India approves NBCC (India) Limited’s acquisition of 51% stake in Hindustan Steelworks Construction Limited",2017-04-06 12:12:05
".@CCI_India approves acquisition of Ericsson India’s Electronic Manufacturing Services business by Jabil India",2017-04-06 12:11:45
".@CCI_India approves acquisition of additional 57.8% equity shareholding in Reynolds American Inc. by British American Tobacco Plc",2017-04-06 12:11:15
"comments sought on amendments to @CCI_India Lesser Penaly Regulations 2009  draft uploaded on website .Last date for comments 10 April 2017",2017-03-28 11:57:11
"@CCI_India approves acquisition of Savlon and Shower to Shower brands by ITC",2017-03-28 11:52:08
"@CCI_India approves acquisition of stakes in certain entities of KRC Group by Blackstone",2017-03-28 11:51:50
".@CCI_India approves acquisition of RCOM’s wireless business by Aircel and subsequent acquisition of 50% shareholding by RCOM in Airce",2017-03-24 13:03:16
".@CCI_India approves acquisition of shares in Future Speciality Retail Ltd. by Beacon Trusteeship Ltd",2017-03-24 13:02:55
".@CCI_India approves acquisition of tower business of RITL by Rapid, an affiliate of Brookfield",2017-03-24 13:02:36
"@CCI_India finds Coal India to have contravened Competition Act - imposes penalty of Rs 591.01 cr",2017-03-24 13:00:57
"@CCI_India finds Ass. of Malayalam Movie Artists, Film Employees Fed'n of Kerala &amp; their affiliates to have contravened Compt. Act, 2002.",2017-03-24 12:58:59
".@CCI_India approves acquisition of 14.89% shareholding in Centrum Direct Ltd by NYLIM Jacob Ballas and Jacob Ballas Capital India Pvt Ltd",2017-03-22 11:16:00
".@CCI_India approves joint venture between Trafigura and Polycab Wires",2017-03-10 11:28:22
".@CCI_India approves acquisition of four brands of Glaxo SmithKline by Corona Remedies",2017-03-07 12:45:24
".@CCI_India approves acquisition by GE Pacific Pvt Ltd of 49% stake in Alstom Bharat Forge Power Pvt Ltd",2017-02-22 12:45:26
".@CCI_India approves acquisition of ~18% share in International Tractors Limited by Yanmar Investment Partnership (Singapore) Pte. Ltd",2017-02-22 12:45:09
".@CCI_India approves acquisition of 51% stake in Baroda AMC and Baroda Trustee by Amundi S.A",2017-02-22 12:44:40
".@CCI_India approves acquisition of certain retail businesses of Heritage Foods Limited by Future Retail Limited",2017-02-22 12:44:21
".@CCI_India approves proposed combination of Time Warner Inc. and AT&amp;T Inc",2017-02-22 12:43:59
".@CCI_India approves acquisition of Food Safety Diagnostic business of DuPont by Qualicon",2017-02-16 12:51:24
".@CCI_India approves acquisition of Wipro’s EcoEnergy business unit by Chubb Alba Control Systems Limited",2017-02-08 12:05:26
".@CCI_India approves acquisition of Titawi Sugar Plant of Mawana Sugar Limited by Indian Potash Limited",2017-02-08 12:05:00
".@CCI_India approves acquisition of majority equity stake of Intel’s security business by TPG Group",2017-02-08 12:04:42
".@CCI_India approves asset acquisition of WRTG, WRTM &amp; acquisition of shares of PKTCL by Adani Transmission Limited",2017-02-08 12:03:37
".@CCI_India approves acquisition of 40% stake in MakeMyTrip Limited by MIH Internet SEA Pte Ltd",2017-02-08 12:03:18
".@CCI_India approves setting up of a joint venture between Reliance Aerostructure Limited and Dassault Aviation",2017-01-27 12:10:56
"@CCI_India imposes penalty of Rs 24.46 million in Brushless DC Fan case on Pyramid Electronics, R Kanwar Electricals &amp; Western Electric",2017-01-20 04:39:12
"@CCI_India approves SAIC Motor HK Investment Limited’s acquisition of assets of General Motors India Private Limited",2017-01-19 12:44:46
".@CCI_India approves acquisition of Ultiva, Tracrium, Nimbex, Mivacron and Anectine/Midarine brands of GlaxoSmithKline by Aspen Global",2017-01-19 12:44:18
".@CCI_India approves acquisition of sole control of SAIC General Motors Investment Limited by General Motors (Hong Kong) Company Limited",2017-01-19 12:43:56
".@CCI_India approves acquisition of Sports Broadcasting business of Ten Sports by Sony Pictures Networks India Private Limited",2017-01-18 11:15:43
"@CCI_India approves acquisition of sole ownership of Guardian Industries Corp. by Koch Industries Inc",2017-01-11 03:05:55
".@CCI_India approves acquisition of the valves and controls business of Pentair Plc by Emerson Electric Co",2017-01-04 04:30:41
".@CCI_India approves share acquisition by CDPQ Private Equity Asia Pte. Ltd.  and Mr. R. Dinesh in TVS Logistic Services Limited",2016-12-30 11:52:36
".@CCI_India approves acquisition of Pfizer Inc.’s Hospira  Infusion Systems business by ICU Medical Inc.",2016-12-27 03:07:11
".@CCI_India approves acquisition of 12.525% stake in Gestamp  Automocion S.A. by Mitsui &amp; Co. Ltd",2016-12-27 03:06:16
".@CCI_India approves acquisition of equity stake in Micromax  Informatics Limited by Madison India Opportunities Trust Fund",2016-12-27 03:05:22
".@CCI_India approves creation of joint venture between TDK Corporation and  Toshiba Corporation",2016-12-27 03:04:27
".@CCI_India approves proposed combination between St Jude Medical and Abbott Laboratories; subject to voluntary remedies",2016-12-16 13:42:22
".@CCI_India approves acquisition of Fraxiparine and Arixtra brands of GlaxoSmithKline by Aspen Pharmacare",2016-12-16 13:42:04
".@CCI_India approves merger of Hinduja Foundries into Ashok Leyland",2016-12-14 12:19:46
".@CCI_India approves acquisition of equity stake in Indus Towers Limited by P5 Asia Holding Investments (Mauritius) Limited",2016-12-14 12:09:55
".@CCI_India approves acquisition of Emerson’s motors, drives and electric power generation business by Nidec Corporation",2016-12-14 12:09:36
".@CCI_India approves acquisition of shares in Essar Oil Limited by Rosneft, Trafigura Group Pte and United Capital Partners",2016-12-01 12:23:09
".@ CCI_India approves amalgamation of Bharatiya  Mahila Bank  Limited into State Bank of India",2016-11-29 12:27:42
"@CCI Chairperson to chair session on 'Role of Market Studies as a tool to promote competition' during OECD Global Forum at Paris on Dec 1,16",2016-11-25 10:37:52
"@CCI Chairperson, Secretary &amp; 2 Jt Directors to participate in OECD Competition Committee meeting and Global Forum in Paris on Nov 28 -Dec1",2016-11-25 10:35:32
".@CCI_India approves acquisition of Babrala unit of Tata Chemicals Ltd. by Yara India",2016-11-25 10:33:24
".@CCI_India approves merger of LG Life Sciences Limited into LG Chem Limited",2016-11-18 04:25:43
"International Competition Network selects @CCI_India to host ICN 2018 Annual Conference in New Delhi",2016-11-09 09:26:52
".@CCI_India approves acquisition of sole control by Ashok Leyland in its JVs with Nissan Motors Ltd",2016-11-03 11:57:27
".@CCI_India approves acquisition of shares of MCC PTA India Corp Pvt Ltd by the Chatterjee Group from Mitsubishi Chemical Corp",2016-11-02 12:27:21
"@CCI_India invites applications from Individuals and NGOs to empanel 24 'Competition Resource Persons': https://t.co/J5GdydrYVh",2016-10-26 09:14:52
".@CCI_India approves acquisition of assets of Sun Pharmaceuticals Industries Ltd  and Sun Pharma Laboratories Ltd by RPG Life Sciences Ltd",2016-10-24 02:25:54
".@CCI_India approves transfer of Raghunathpur power plant to the newly created  JV between NLC and DVC",2016-10-24 02:23:54
".@CCI_India approves the combination involving internal reorganization of the  Fortis group”",2016-10-24 02:23:13
".@CCI_India approves acquisition of Material Handling &amp; Port Solutions business of Terex Corporation by Konecranes Plc",2016-10-20 12:32:38
".@CCI_India approves acquisition of additional equity shares of Den Networks Ltd by Goldman Sachs Group",2016-10-20 12:32:15
".@CCI_India approves acquisition of Network Power Business by Platinum Group from Emerson Electric Company",2016-10-20 12:31:57
".@CCI_India approves Joint Venture between TDY Industries and General Electric for development of titanium alloy powder and products",2016-09-30 11:44:44
".@CCI_India approves amalgamation of Coffee Day Overseas Pvt Ltd with Coffee Day Enterprises Ltd",2016-09-30 11:44:15
".@CCI_India approves merger of FMC and Technip",2016-09-26 11:53:38
".@CCI_India approves acquisition of upto 15.45% stake in India Infoline Finance by CDC Group plc",2016-09-26 11:53:14
".@CCI_India approves swap of CHC and AH business between Sanofi and Boehringer Ingelheim International GmbH",2016-09-26 11:51:52
".@CCI_India approves JSW Energy Ltd’s acquisition of 100% stake in Bina Power  Supply Limited from Jaiprakash Power Ventures Ltd",2016-09-20 16:11:25
".@CCI_India approves acquisition of 4 pharmaceutical products of Pfizer Ltd by  Piramal Enterprises Ltd",2016-09-20 16:09:51
".@CCI_India imposes a total penalty of Rs 6714 crore on 11 cement companies &amp; Cement Manufacturers Association for cartelisation",2016-08-31 13:57:03
".@CCI_India approves the merger of Aadhar Housing Finance Ltd. and DHFL Vysya Housing Finance",2016-08-30 03:45:39
".@CCI_India approves merger of IMS Health Holdings Inc with and into Quintiles Transnational Holdings Inc.",2016-08-23 15:48:02
".@CCI_India approves acquisition of 11 cement plants of Jaypee by Ultratech",2016-08-23 12:03:36
".@CCI_India approves demerger of Enterprise Service Business of HPE into Everett Spinco; the latter to become subsidiary of CSC",2016-08-23 12:03:18
".@CCI_India approves formation of joint venture between Gerdau S.A., Sumitomo Corporation and The Japan Steel Works Ltd",2016-08-23 12:02:45
".@CCI_India approves acquisition by HCL of certain undertakings of Geometric &amp;  merger of remaining undertaking of Geometric with 3DPLM”.",2016-08-19 12:52:30
".@CCI_India approves acquisition of L&amp;T General Insurance by HDFC Erg",2016-08-19 12:51:03
".@CCI_India approves acquisition of Doosan Engineering &amp; Construction Co. Ltd by General Electric International (BENELUX) B.V",2016-08-12 12:03:41
".@CCI_India approves acquisition of 30% equity share capital of GMR Energy Limited by Power &amp; Energy International (Mauritius) Ltd",2016-08-12 12:02:55
".@CCI_India imposes penalty on Karnataka Chemist and Druggist Assn ( Rs 8.6 lacs ) and on Lupin Pharmaceuticals ( Rs 72.96 cr)",2016-08-02 05:16:20
".@CCI_India approves acquisition of certain entities of Dell Inc. by NTT Data International",2016-06-24 11:24:54
".@CCI_India approves the merger of EMC, McNally Bharat Engineering, McNally Sayaji Engineering and Killburn Engineering",2016-06-23 11:07:10
".@CCI_India approves acquisition of 100% shares of Visteon Interiors Systems Private Limited by Reydel Automotive Holdings B.V.",2016-06-07 13:36:54
".@CCI_India approves acquisition of shares in Ingram Micro Inc. by Tianjin Tianhai Investment Company Limited and GCL",2016-06-07 09:56:05
".@CCI_India approves merger of Dr. Wolfgang Porsche Holding GmbH and Ferdinand Porsche Familien-Holding GmbH",2016-06-02 10:44:17
".@CCI_India approves acquisition of Alliance Tyre Group B.V. by Yokohama Rubber Co",2016-06-02 10:43:57
"@CCI_India approves acquisition of JP Morgan Mutual Fund schemes by Edelweiss",2016-06-02 10:43:17
"@CCI_India approves acquisition of industrial coatings business of BASF SE by Akzo Nobel N.V",2016-06-02 10:42:56
".@CCI_India approves acquisition of Lanxess India Pvt Ltd’s pigment dispersion business by Clariant Chemical (India) Limited",2016-06-02 10:42:22
"Sh Arun Jaitley, Union Minister, delivers 4th Annual Day lecture at @CCI_India on 'Competition Regulator &amp; Growth'",2016-05-20 15:45:29
".@CCI_India approves acquisition of rice business of HUL by LT Foods",2016-05-17 12:06:55
".@CCI_India approves acquisition of the copper fungicide business of DuPont by Mitsui &amp; Kocide",2016-05-16 11:17:25
".@CCI_India approves acquisition of the CCDs and equity shares in FCEL by Black River Food 2 Pte. Ltd",2016-05-11 10:36:33
"@CCI_India approves acquisition of stake in Jain Farm Fresh Foods &amp; Jain Irrigation by Mandala Rose &amp; Mandala PrimRose Co-Investment Ltd",2016-03-07 12:25:03
"@CCI_India organizes conference on Economics of Competition Law - Inaugural address by Mr Jayant Sinha, Minister of State for Finance",2016-03-03 11:44:30
"@CCI_India approves acquisition of shares in Gigaplex by Raheja group from JP Morgan and inter-related restructuring of Raheja group”",2016-02-25 08:17:57
"@CCI_India approves acquisition of Polaris Consulting &amp; Services Ltd by Virtusa Consulting Services Pvt. Ltd",2016-02-23 09:17:29
"@CCI_India approves acquisition of the telecom business of Sistema Shyam TeleService Ltd. by Reliance Communications Ltd",2016-02-23 09:17:13
"@CCI_India approves acquisition of Cavendish Industries Limited by JK Tyres &amp; Industries Ltd",2016-02-23 09:16:55
"@CCI_India approves acquisition of additional shares of Sabarmati Gas Limited by  GSPC group and BPCL",2016-02-17 16:04:23
"@CCI_India approves acquisition of additional 23% equity of Reliance Life  Insurance Company Limited by Nippon Life Insurance Company”",2016-02-17 16:03:46
"@CCI_India approves setting up of a joint venture for LNG terminal and trading of  LNG at Kakinada by APGDC, GAIL, Shell and Engie”",2016-02-16 01:19:14
"@CCI_India approves amalgamation of HealthFore Tech. Ltd. and Oscar Investments Ltd.”",2016-02-11 12:38:52
".@CCI_India approves acquisition of SABMiller Plc. By Anheuser-Busch InBev SA/NV",2016-02-02 09:24:29
".@CCI_India approves acquisition of additional 23% equity of Birla Sun Life Insurance by Sun Life Financial (India) Insurance Investments",2016-02-01 06:20:55
".@CCI_India approves acquisition of Starwood Hotels &amp; Resorts Worldwide by Marriot International",2016-02-01 06:13:45
".@CCI_India approves acquisition of Healthcare Antisepsis Solutions business of Ethicon, Inc. by Schulke &amp; Mayr GmbH”",2016-01-29 05:18:48
".@CCI_India approves acquisition of 26.11% stake in Cipla Health Ltd. by FIL Capital Investments (Mauritius) II Ltd",2016-01-28 12:37:36
".@CCI_India approves increase in shareholding of Invesco Hong Kong in Religare AMC and Religare Trustee from 49% to 100%",2016-01-28 12:23:40
".@CCI_India approves creation of JVs by Unicredit, Santander and Sherbrooke",2016-01-28 12:21:52
".@CCI_India approves acquisition of Goldman Sachs Mutual Fund by Reliance Mutual Fund",2016-01-18 17:15:26
".@CCI_India approves acquisition of certain brands of Johnson and Johnson by Strides Shasun Limited”",2016-01-18 04:40:08
".@CCI_India approves acquisition of additional 23% shares in Tata AIA Life Insurance Company Ltd by AIA International Ltd",2016-01-18 04:38:48
".@CCI_India approves acquisition of five wind power plants of Jaiprakash Associates Limited by Suraksha Group entities",2016-01-13 11:02:02
".@CCI_India approves acquisition of certain assets and business of Sun Pharmaceutical by Strides Shasun Limited",2016-01-12 11:48:20
".@CCI_India approves acquisition of 51 percent equity of Viom Networks Limited by ATC Asia Pacific Pte. Ltd",2016-01-12 11:47:50
".@CCI_India amends Combination Regulations to streamline and simplify rules &amp; procedures for M&amp;A filings.",2016-01-12 07:23:12
"Sh Devender Kumar Sikri take oath as Chairman of CCI today. He was sworn in by Sh Arun Jailley,Minister of Corporate Affairs .",2016-01-11 12:31:27
".@CCI_India approves acquisition of operations, maintenance and energy management business of GTL Ltd. by E2 Energy Services Pvt. Ltd",2016-01-07 13:07:11
".@CCI_India approves acquisition of lead-acid storage battery business of Panasonic Corporation by GS Yuasa International Limited",2016-01-07 13:05:29
".@CCI_India approves acquisition of upto 21.61% of share capital of India Infoline Wealth Management Ltd by General Atlantic Singapore",2016-01-07 13:05:10
".@CCI_India approves merger of Konecranes Plc. And Terex Corporation",2016-01-06 11:36:53
".@CCI_India approves acquisition of Sharekhan Limited by BNP Paribas S.A.",2016-01-05 12:21:36
".@CCI_India received 127 combination cases in 2015: highest number of cases received so far in a calendar year”",2016-01-01 10:17:58
".@CCI_India approves acquisition of specialty chemicals business of Vivimed Labs Ltd. by Clariant India Ltd",2015-12-31 11:58:40
".@CCI_India approves acquisition of Kuoni Travel (India) Private Limited by Thomas Cook (India) Limited",2015-12-31 11:58:22
".@CCI_India approves amalgamation of Webtech Labels Pvt Ltd with Huhtamaki PPL Limited",2015-12-30 11:41:51
".@CCI_India approves acquisition of Broadcom Corporation by Avago Technologies Limited",2015-12-30 11:41:35
".@CCI_India approves acquisition of 49% stake in each of Union KBC AMC and Union KBC Trustee by Union Bank of India",2015-12-30 11:41:18
".@CCI_India decides 29 combination cases in December 2015 – highest number of cases ever decided in a month",2015-12-30 10:10:51
".@CCI_India approves acquisition of additional 9% shares in ICICI Lombard General Insurance by FAL Corporation”",2015-12-29 04:24:18
".@CCI_India approves acquisition of wealth management business of RBS by Sanctum Wealth",2015-12-29 04:24:00
".@CCI_India approves formation of a 50:50 joint venture for synthetic rubber between Lanxess and AOC",2015-12-29 04:23:43
"“@CCI_India approves acquisition of 20% shareholding of JBF Industries and certain CCPS of JBF Global Pte Ltd by KKR Credit",2015-12-18 04:22:40
"“@CCI_India approves acquisition of Lab Diagnostics and Point of Care Business of Piramal Enterprises by DiaSys India”",2015-12-18 04:22:11
"“@CCI_India approves acquisition of Tower Business of Agarwal Steel Structures by BS Limited",2015-12-18 04:21:55
". @CCI_India invites public comments on the PVR DT cinemas deal",2015-12-17 05:54:54
"https://t.co/QpGuK5XKzx",2015-12-17 05:53:54
"@CCI_India approves the acquisition The Leela, Goa by Ceres Hotels Pvt. Ltd",2015-12-11 12:56:28
".@CCI_India approves the acquisition of animal health business of Novartis by Eli Lilly",2015-12-11 12:55:03
".@CCI_India approves acquisition of formulations plant of Pfizer Limited at Thane by Vidhi Research and Development LLP",2015-12-11 12:54:34
".@CCI_India introduces e-filing of information under Competition Act.",2015-12-01 13:30:42
"“.@CCI_India receives 21 merger filings in October 2015 – largest number of filings in a month in past 4 years.”",2015-11-24 07:52:38
"“.@CCI_India approves the acquisition of additional 23% equity of Aviva Life Insurance Company Ltd by Aviva International Holdings Ltd.”",2015-11-24 07:51:55
".@CCI_India imposes penalties (Rs in cr) on Jet ( 151.69) Interglobe (63.74) &amp; Spice (42.48) for concerted action in fixing fuel surcharge",2015-11-17 12:38:38
"“@CCI_India approves the acquisition (a) Deutsche MF by Pramerica MF &amp; (b) acquisition of Deutsche AMC portfolio accounts by Pramerica AMC.”",2015-11-09 04:18:12
"“@CCI_India approves the acquisition of approx. 25% equity shares of SoftwareONE Holdings by Westminster Bidco”.",2015-10-30 11:05:45
"“@CCI_India approves increase of Standard Life (Mauritius) Hdgs 2006 Ltd’s stake from 26% to 35% in existing joint venture co, HDFC Life.”",2015-10-14 12:20:39
"“@CCI_India approves the acquisition of approx. 4.14% equity share capital of Jasper Infotech by Alibaba group.”",2015-10-14 12:19:22
"“@CCI_India approves acquisition of Italcementi SPA by Heidelberg Cement AG.”",2015-09-23 12:31:39
"“Aster and Ideamax; and (ii) assets of Agarwal Steel, Gem Cables, Vijeta Transformers and Sourya Insulators. (2/2)”",2015-09-17 03:48:39
"“@CCI_India approves Koneru Holdings’ acquisition of (i) shares in PVK Engineers, Best &amp; Crompton Engineering (1/2)”",2015-09-17 03:47:05
"“@CCI_India approves the acquisition of bioscience business and related assets of Baxter International by Baxalta Incorporated.”",2015-09-17 03:46:45
".@CCI_India approves merger of Edison Acquisition Sub, Inc with Raritan Inc.”",2015-09-14 13:05:42
".@CCI_India imposes penalty on Kerala Film Exhibitors Federation &amp; office bearers- bars  them from associating with Federation for 2 yrs",2015-09-09 04:15:50
"“@CCI_India approves acquisition of 19.77% shareholding in McNally Bharat Engineering Company Ltd by EMC Ltd.”",2015-09-04 18:25:18
"“@CCI_India approves acquisition of upto 26% of equity shares of IIFL Holdings Limited by Fairfax.”",2015-08-31 12:29:12
"“@CCI_India approves the merger of retail store and retail infrastructure businesses of Future Retail Ltd. and Bharti Retail Ltd",2015-08-27 08:41:02
"“@CCI_India approves acquisition of 4 retail stores of Jubilant Agri and Consumer Products Ltd (JCAPL) in Bengaluru by Aditya Birla Retail”",2015-08-11 11:29:36
"“@CCI_India approves acquisition of certain BPM/BPO assets of Mphasis Ltd and Msource (India) Private Ltd by Hinduja Global Solutions Ltd\"",2015-08-04 13:06:58
"“@CCI_India approves acquisition of 20% equity stake of Keimed Private Limited by Mitsui.”",2015-08-04 13:05:51
".@CCI_India imposes penalty on Karnataka Film Chamber of Commerce ( Rs 16.82 lac)  KTVA ( Rs 1.74 lac)  &amp; KFPA ( Rs 1.68 lac)",2015-07-29 12:39:23
"@CCI_India imposes penalty of Rs 420.26 cr on Hyundai Motor India Pvt Ltd : Cease and Desist orders on Hyundai, Reva and Premier.",2015-07-28 12:22:52
"“@CCI_India approves formation of a JV (Warren Robotics Inc) between Johnson &amp; Johnson, Ethicon and Google. .”",2015-07-27 03:58:16
"“@CCI_India approves increase in shareholding of AEGON and BCCL in Aegon Religare Life Insurance Company.”",2015-07-18 13:57:07
"CCI imposes penalty of Rs 671 cr on four public sector insurance companies",2015-07-16 12:59:23
"“@CCI_India approves combination involving restructuring of businesses of Oudh Sugar and Upper Ganges.”",2015-07-13 09:02:48
"“@CCI_India approves acquisition of 11% equity shares of Mankind Pharma Limited by Cairnhill CIPEF Limited and Cairnhill CGPE Limited.”",2015-07-11 12:16:07
"Sh Ashok Chawla Chairperson @CCI_India to participate in 7th UN Conference to review Set on Competition Policy in Geneva organized by UNCTAD",2015-07-03 09:04:18
"“@CCI_India to amend Combination Regulations . Gazette Notification to be issued shortly “",2015-07-03 08:45:36
"“@CCI_India approves the acquisition of iGate by Capgemini.”",2015-07-01 06:47:40
"“@CCI_India approves acquisition of Hospira by Pfizer.”",2015-07-01 06:47:15
"“@CCI_India approves IndusInd Bank’s acquisition of gem and jewellery portfolio of Royal Bank of Scotland.”",2015-07-01 06:46:02
"“@CCI_India approves acquisition of 26.33% share capital of Tata Projects Limited by Tata Capital Limited and Omega”",2015-06-23 14:10:56
"“‘@CCI_India approves acquisition of textile division (Birla Textile Mills) of Chambal Fertilisers &amp; Chemicals Limited by Sutlej Textiles",2015-06-19 16:09:31
"@CCI_India issues order in the information filed by Bio Med Ltd. Imposes Penalty of Rs. 60,48,90,469 on Glaxo, Rs 3,04,34,200 on Sanofi",2015-06-06 02:20:33
"@CCI_India approves Sundaram Finance Limited’s acquisition of additional stake of 26% in Royal Sundaram",2015-06-03 08:35:43
"@CCI_India approves acquisition of passive infrastructure assets of KEC International Limited by ATC Telecom Tower",2015-06-03 08:31:17
"OECD holds 2-day Workshop on leniency at @CCI_India",2015-06-03 05:09:41
"@CCI_India approves acquisition of signalling business of GE by Alstom (3/3)",2015-05-27 16:42:28
"@CCI_India approves formation of JVs between GE and Alstom(2/3)",2015-05-27 16:41:44
"@CCI_India approves (i) GE’s acquisition of Alstom’s thermal, power, renewable power and grid businesses (1/3)",2015-05-27 16:41:09
"@CCI_India approves increase of AXA’s stake from 26% to 49% in Bharti Axa Life and Bharti Axa General Insurance",2015-05-27 16:39:43
"Mr. N R Narayana Murthy ( @Infosys_nmurthy ) delivered Annual day lecture today @CCI_India",2015-05-20 16:32:26
"@CCI_India approves acquisition of HVAC business of Hitachi by Johnson Controls",2015-05-19 11:09:20
"Annual Day of @CCI_India on May 20, 2015.",2015-05-19 05:33:30
"@CCI_India approves acquisition of plant of RFIL by BAL",2015-05-15 08:05:38
"CCI imposes Rs 4.48 crore penalty on Verifone India on 10-4-15.  Order on website http://t.co/imis0iVsVO",2015-04-15 07:56:52
"Competition Commission of India is now on Twitter",2015-04-15 07:42:58
